seg_idx,circuitid,substation,division,mid_lat,mid_lon
1416,082462110,08246,San Jose,37.424445992853386,-121.96094449444011
1417,082462111,08246,San Jose,37.42124472033689,-121.97499229067617
1418,082831101,08283,San Jose,37.40339439065753,-121.88194292134551
1419,082831103,08283,San Jose,37.43645162197628,-121.89694483359125
1420,082831104,08283,San Jose,37.41375841601693,-121.89050640960843
1421,082831105,08283,San Jose,37.451930461861025,-121.89211409561484
1422,082831106,08283,San Jose,37.42403758557506,-121.86301229470283
1423,082831108,08283,San Jose,37.41551527009439,-121.85263501429516
1424,082831109,08283,San Jose,37.42071060472677,-121.77345340547609
1425,082832110,08283,San Jose,37.395735127827216,-121.86045466228134
1426,082832111,08283,San Jose,37.42920581101769,-121.89756033568835
1427,082832112,08283,San Jose,37.397890234807214,-121.87808775768934
1428,082832113,08283,San Jose,37.405438838458,-121.89448602775202
1429,082832114,08283,San Jose,37.40926864700514,-121.89902479543167
1430,082832115,08283,San Jose,37.42341390105528,-121.89699742016055
1431,082841101,08284,Central Coast,37.13598368006401,-122.13781847290781
1432,082841102,08284,Central Coast,37.167108017290644,-122.18690364105298
1433,082921101,08292,De Anza,37.289198982631454,-121.94921799373768
1434,082921102,08292,De Anza,37.323279930410465,-121.93638743562938
1435,082921103,08292,De Anza,37.315854707612324,-121.96438468009633
